runs_remaining,balls_remaining,wickets_remaining,rrr,win
167.0,119,10,8.420168067226891,1
166.0,118,10,8.440677966101694,1
166.0,117,10,8.512820512820513,1
166.0,116,10,8.586206896551724,1
166.0,115,10,8.660869565217391,1
162.0,114,10,8.526315789473685,1
161.0,113,10,8.548672566371682,1
161.0,113,9,8.548672566371682,1
160.0,112,9,8.571428571428571,1
160.0,111,9,8.64864864864865,1
159.0,110,9,8.672727272727274,1
159.0,109,9,8.75229357798165,1
159.0,108,9,8.833333333333334,1
154.0,107,9,8.63551401869159,1
154.0,106,9,8.716981132075471,1
152.0,107,9,8.52336448598131,1
148.0,106,9,8.377358490566037,1
148.0,105,8,8.457142857142857,1
147.0,104,8,8.480769230769232,1
145.0,103,8,8.446601941747572,1
145.0,102,8,8.529411764705882,1
139.0,101,8,8.257425742574258,1
138.0,101,8,8.198019801980198,1
138.0,100,8,8.28,1
138.0,99,8,8.363636363636363,1
136.0,98,8,8.326530612244898,1
135.0,97,8,8.350515463917525,1
129.0,96,8,8.0625,1
129.0,95,8,8.147368421052631,1
125.0,94,8,7.9787234042553195,1
124.0,95,8,7.8315789473684205,1
124.0,94,8,7.914893617021277,1
123.0,93,8,7.935483870967742,1
119.0,92,8,7.760869565217391,1
119.0,91,7,7.846153846153847,1
119.0,90,7,7.933333333333334,1
115.0,89,7,7.752808988764045,1
115.0,88,7,7.840909090909091,1
114.0,87,7,7.862068965517241,1
114.0,86,7,7.953488372093023,1
114.0,85,7,8.047058823529412,1
114.0,84,7,8.142857142857142,1
113.0,83,7,8.168674698795181,1
107.0,82,7,7.829268292682928,1
107.0,81,7,7.925925925925926,1
107.0,80,7,8.025,1
107.0,79,7,8.126582278481013,1
107.0,78,7,8.23076923076923,1
106.0,77,7,8.259740259740258,1
106.0,76,7,8.368421052631579,1
106.0,75,7,8.48,1
105.0,74,7,8.513513513513512,1
104.0,73,7,8.547945205479452,1
103.0,72,7,8.583333333333334,1
102.0,71,7,8.619718309859154,1
96.0,71,7,8.112676056338028,1
95.0,70,7,8.142857142857144,1
95.0,69,7,8.26086956521739,1
95.0,68,7,8.382352941176471,1
91.0,67,7,8.149253731343284,1
91.0,66,7,8.272727272727273,1
87.0,65,7,8.03076923076923,1
86.0,64,7,8.0625,1
85.0,63,7,8.095238095238095,1
81.0,62,7,7.838709677419354,1
80.0,61,7,7.868852459016394,1
80.0,60,7,8.0,1
79.0,59,7,8.033898305084746,1
75.0,58,7,7.758620689655173,1
74.0,57,7,7.7894736842105265,1
74.0,56,7,7.928571428571428,1
68.0,55,7,7.418181818181819,1
68.0,54,7,7.555555555555555,1
68.0,53,7,7.698113207547169,1
68.0,52,6,7.846153846153847,1
67.0,51,6,7.882352941176471,1
67.0,50,6,8.04,1
67.0,49,6,8.204081632653061,1
66.0,48,6,8.25,1
65.0,47,6,8.297872340425533,1
64.0,47,6,8.170212765957448,1
63.0,46,6,8.217391304347826,1
61.0,45,6,8.133333333333333,1
55.0,44,6,7.5,1
53.0,43,6,7.395348837209302,1
53.0,42,6,7.571428571428571,1
53.0,41,6,7.75609756097561,1
49.0,40,6,7.35,1
48.0,39,6,7.384615384615385,1
47.0,38,6,7.421052631578948,1
43.0,37,6,6.972972972972973,1
42.0,36,6,7.0,1
40.0,35,6,6.857142857142858,1
36.0,35,6,6.171428571428572,1
35.0,34,6,6.1764705882352935,1
31.0,33,6,5.636363636363637,1
31.0,32,6,5.8125,1
25.0,31,6,4.838709677419355,1
25.0,30,6,5.0,1
24.0,29,6,4.9655172413793105,1
20.0,28,6,4.285714285714286,1
20.0,27,6,4.444444444444445,1
20.0,26,6,4.615384615384616,1
16.0,25,6,3.84,1
15.0,24,6,3.75,1
15.0,23,6,3.9130434782608696,1
15.0,22,6,4.090909090909091,1
15.0,21,6,4.285714285714286,1
14.0,20,6,4.2,1
14.0,19,6,4.421052631578948,1
13.0,18,6,4.333333333333333,1
12.0,17,6,4.235294117647059,1
11.0,16,6,4.125,1
9.0,15,6,3.6,1
8.0,14,6,3.4285714285714284,1
6.0,13,6,2.7692307692307696,1
